,Input Database,ID,Gejala (Inggris),Gejala (Indonesia),Penjelasan,Bentuk Pertanyaan,link gambar
64,,64,dizziness,Pusing,"Pusing adalah sensasi seperti berputar, kliyengan, melayang, atau kondisi ketika kamu merasa akan pingsan. Pusing bisa terjadi pada siapa saja dengan sensasi yang berbeda pada setiap orang",Apakah anda saat ini sering merasakan pusing?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1598339837/attached_image/pusing.jpg
65,,65,cramps,Kram Kaki,"Kram kaki adalah pengerutan pada otot, yang muncul secara tiba-tiba dan menyebabkan nyeri. Kram bisa sembuh dengan sendirinya selama beberapa detik, menit, atau jam,",Apakah anda sering merasa keram pada bagian kaki anda?,https://asset.kompas.com/crops/V0I5JI9HfmTS1Re8EVV3_auN4-I=/0x0:696x464/750x500/data/photo/2017/03/28/1866054603.jpg
66,x,66,bruising,Memar,Memar atau lebam adalah perubahan warna pada bagian kulit tertentu yang terjadi akibat pecahnya pembuluh darah kecil di bawah kulit. Kondisi pecahnya pembuluh darah dapat terjadi akibat adanya cedera traumatis.,Apakah terdapat memar di tubuh anda?,https://blogpictures.99.co/cara-menghilangkan-memar.jpg
67,x,67,obesity,Obesitas,Obesitas adalah penumpukan lemak yang sangat tinggi di dalam tubuh sehingga membuat berat badan berada diluar batas ideal.,Apakah saat ini anda mengalami obesitas?,https://awsimages.detik.net.id/community/media/visual/2015/11/07/f4c66091-001f-4355-9d3c-ea39df17219b_169.jpg?w=700&q=90
68,x,68,swollen_legs,Kaki Bengkak,"Kaki bengkak adalah kondisi medis ketika terjadi penumpukan cairan pada kaki. Penumpukan cairan ini biasanya tidak disertai dengan nyeri, kecuali apabila bengkak disebabkan oleh cedera",Apakah kaki anda bengkak?,https://kurio-img.kurioapps.com/21/02/11/a5e2116a-dba2-4275-8d1e-9c093749dcc3.jpe
69,x,69,swollen_blood_vessels,Pembengkakan Pembuluh Darah,"Pembengkakan pembuluh darah disebut juga sebagai vaskulitis. Ini menyebabkan perubahan pada dinding pembuluh darah, termasuk penebalan atau penyempitan. Perubahan ini bisa membatasi aliran darah, mengakibatkan kerusakan organ dan jaringan.",Apakah pembuluh darah anda mengalami pembengkakan?,"https://d324bm9stwnv8c.cloudfront.net/Waspada,_Ini_Komplikasi_yang_Dapat_Terjadi_pada_Pengidap_Vaskulitis.jpg"
70,x,70,puffy_face_and_eyes,Pembengkakan Wajah dan Mata,"Pembengkakan wajah dan mata adalah kondisi medis ketika terjadi penumpukan cairan pada sekitar wajah. Penumpukan cairan ini biasanya tidak disertai dengan nyeri, kecuali apabila bengkak disebabkan oleh cedera",Apakah wajah dan mata anda mengalami pembengkakan?,https://akcdn.detik.net.id/visual/2019/12/17/ce4ce440-5275-4d31-b48b-461afa7827cb_169.jpeg?w=650
71,x,71,enlarged_thyroid,Pembesaran Tiroid,Kelenjar tiroid yang terlalu aktif (hipertiroidisme) akan mengakibatkan kelenjar tiroid membesar. Hal ini ditandai dengan membesarnya leher.,Apakah kelenjar tiroid anda membesar (leher membesar) ?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1557212026/attached_image/nodul-tiroid-gejala-penyebab-dan-pengobatannya.jpg
72,x,72,brittle_nails,Kuku Rapuh,"Kuku rapuh merupakan kondisi dimana kuku mudah retak, pecah, dan terkelupas ",Apakah saat ini kuku anda rapuh dan mudah retak?,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2018/06/23/2119266598.jpg
73,,73,swollen_extremeties,Bengkak ekstrem,Kondisi dimana terjadi pembengkakan secara ekstrim pada bagian tubuh.,Apakah terdapat pembengkakan yang ekstrim pada bagian tubuh anda?,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxITEhUQEhMWFhUVFhgVGRcVGBUYFxUYFRUWFxUVFhcYHSggGBolGxUXITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGisfHyUtLS0tLS0rLS0tLS0tLSstLS0tLS0tLS0tLS0rLS0tLS0tLS0tLS0tLS0tLS0tNzcrLf/AABEIAJ8BPgMBIgACEQEDEQH/xAAbAAEAAgMBAQAAAAAAAAAAAAAAAwQCBQYBB//EAD4QAAIBAgIHBQQHBgcAAAAAAAABAgMRBCEFBhIxQVFhcYGRobETIsHRFCMyQlKy8AckYnKSohU0goPC4fH/xAAZAQEAAwEBAAAAAAAAAAAAAAAAAQIEAwX/xAAlEQEBAAIBAwMFAQEAAAAAAAAAAQIRAwQhMRIiQRMUMjNRcWH/2gAMAwEAAhEDEQA/APuIAAAAAAAAAAAAAAAAAAAADhNd6Vqu1zin4ZfA5aJ22vVLKEu1ehxaRj5Z7no8F3hGaJabI7Gaicna+HlRlSqy3URVrIEiq4nd/s+p2230+KOFUcz6BqHGyn2L1LcX5xTqP1114AN7ywAAAABz2uVG9G/I4KnM+k6ywvQl0t8j5kspPtMnUTvt6HS326W48ySJhAlgjhGmpUzKmYWMkgjbOZsNX4Xrw734JlCPqbnVynasux+hbCe6OfJdY3/HXAA9B5YAAAAAAAAAAAAAAAAAAAAA5/XCjejflJeaa+RwM45n0nWdfu8+78yPnUlmZufy29NfawhF9xPBGMUSwRwaKiqlGqbCqijXKrSq8VmfQ9R17ku74nz1bzv9Q53jP/T8Tpw/nHPqP111gANzzAAAAABr9Pr93qdnxR8q2s2fWNNL6ir/ACS9D5Mt5l6j4buk8Vcpu5YpsqU5FiEjK2LEEZbjGEjJomIS0jf6uL6zuZoaEDpdW6ebfS3iztx/lGfnvtroAAbXnAAAAAAAAAAAAAAAAAAAAADVaz/5ap3fmR88XM7jXavs4dR/FNLuSb+COGgzNz+W3pvxSQRmmeQjwJJRM7SgqM19aRerLia6tvC2KNTR2n7Oa13Vj0i/NnDJ5nWfs7qfX1Fzp+kol+L8o5c/66+jAIG55gAAAAA1msdXZw9R81bxaR8qc7M7zXzHKMYUr5ybk+yKsvN+RwMp5mTqL309DpJrHa1BlikVaauWKZlatrFKRZpkFIt00WiFmhA6XV6PuyfVGgo7jo9A/YfaaOL8mPnvtbMAGtiAAAAAAAAAAAAAAAAAAABjOaSu3ZLizT6Q1gpwTUE5vyIuUnlMxuXhoNfcTepCnwjHafbJ/JLxNFQhlcs4urKpNzlm27/roeQiY88t3b0ePH04yMlE8nwJUQ1Si6CujWV48TYzKlaJV0jX2zOl1AnbFW5wkvR/A56utxtdT6mzjKTeV24/1Rat42OmF90cuXvhX1kAG55YAABFisRGnCU5u0YptvoiU5PXvSFoLDx3y96VuSeS736EZXU2thj6rpxmm9ISr1JVXx3Lkvurw+JrqbM5YSpvi+5/PgRxq2ezOLjLk+PY+Jgy3bt6uMkmot06li3RmirSgi3SgU0tV2mWaSKtOFyxRuuBbSLezY0dxv8AQMvdaOeom70FUzsduPtWTm741vAAa2IAAAAAAAAAAAAAAQYnFwpq85KPa/RcTQ43WuKypRcuryXgVyzk8r4ceWfiOklJLNmo0jrBSppqMlOXKOa72jksZpGdV3nJvpuS7FuK9jhlz/xrx6O+clnG6Qq1Xec3b8Kuoru+ZBtPcIxZ6onC5WtEwk7QSJIwMUiWJKKjaIqqLE0RTgRYbUJK5DVgXXGxWxLI0tKoSXMs4RbMoTT+zKMuuTTIqi5Ci+H/AITEV9jpzTSad01ddj3GRodUsbt0FF74e73fd+XcbSvpCnB2lJJ8t78jdMu23l3GzLS0eNmor6eh9xX7TT4vSFSpk3lyWRTLlxjphwZZf8brSWnIU01D3pdNy7WcjicTKcnKW97yWUDFUjNny5ZNnHw44Io4dPMVMDGStKKkuTVy9Tok0aXMiJt05bEaDlH3qMtpfgk81/LJ+jMcNLg00+KeTR1kqRUxWHhL7Ss1x5djFiZmoUVYmhJmHsXDfmuZnFkLVco1OJfwVVxalyZqaM7uxs6ayOkcco6uErpNcczI1+hq14bL3xdu7h8u42Brl3GCzV0AAlAAAAMXIoYjTdGOW1f+XPz3EWyeUzG3w2INBV1ngt0W+2yKeI01VmrRewumb8WUvLjHbHp+TL4dFi8bCmrykl04+BzOktZZyvGl7q58X8jUYmM73buupXaSzRxy5bfDbxdHjO+XdnWnKT2pNt9WYxgZRaJqVO+Zy8tkxmMYRgjOyMKk7Ee2VT6UzZhFsxUrGSkTHHkmmcTKK5kTrJEFfFZXLRwrYZFao1wNZV0lbiVK2lMySRsa07Z8GQSnfKxUp4qU8oK76fE2FDA1H9txS5LNkVLBQueRwMuxdTcYXDRW7MndIg9SpoydSknszktpWfDw+ZM+ZYhSzMvYXI1UeqbV43JYpkqoMmp0hpFyiGlDoWIUbksIFiEC8xUyzRQpWFSJZSIpxL67Oe91AyKdK/Alke7RVZrpUuHkyL6Or5ZPlw/6NnOKf6zMFR55+o0t6lSlG2TVn69jLcDP2B7GJMityizomq41bcJZfI6E53DRW1F9V6nQo0Ydoy8vl6AC7mHL6X1j+s9lS3Rs5T53byXhvOlrRvFrmmvE+KaaxFbB137SEnHddRlsyXBp2yZzzt8R34Mcbd5O/npFSVpNy9PM0laDc27ZPkavA6Zp1I7abS/iTjbxXobOjio23rxOOXfy3Y44zvElOjmnfp3cP11Jr2InJbyH6UuaOfp0745bWZ1OBRrZcT2piI80VqlTaI064sFX4cCWGI6leNEs0sBJvKL9SdOlyxS0p3Jqcbk0cG0r2a7n8hKSX3Zy6Qpzl+VOw9FccuXFHKJA52LFWnW+7hqsu6EF/fJGvxuH0hb3ME321aV/zF5x1lz5sb8vK9R8CnWcrWuTYHQWlKsvfpU6Mf45qT8IX9TF6q6Tc7TnhoQv9pSqSbXY4L1LTjrlebH+oKOg69RXi4q/4nb0TJ8LqzNSvNqfPZbcV6XNn7dRlKKlZxdmuK6HuExFSbajK1uLvZX3ZcStnw7yfMq1TwlOnFWSXRZLw5mMM2T4fCvNVM3Hj1K9eTvsQV5clw7b7jnYRPCyyuTwqLgitSwcnvupLg7WEq7i9mMbt8uC5kd1bjL4bG195JBLgUrSaTWa4/r4E3tVFZ793a+Bbbncat+yJYxKVHF3bT3rgWZVOpfcUuNTxRnFEVGeWZIpovO6ljKxiw6hDUqCoj2dg6SsQbRNTmIm7ebEVwMr5EWIrxjm2l2kFTE2i5bM7LioTa8UidGlhzZg2ihHG1Jq9OhWmuew4p9jqWMoUMZLdhpR6znSS79mUn5DRbI3OjIXmumbN8UdE4N04e805Pfbd2K/AvHbGdmbK7oACVQwlTT3mYA1GO1bwta/tKMXfleP5WjTP9m+j73VOpHpGtWivKR2AI1FplZ8ufo6nYOK2fYqS/jlOd+3bk7lmGrWEW7DUV/tw+RtwNQ9eX9a2GhMOt1GkuyEF8CaOj4LdCK7Ei4BqI9V/qusMluyMvZEwJNofZnjpk4CFf2b5HjpPkWQBVdJj2RaAGj0hq9hqz2qtCEpfi2bS/qVn5mlq6pSpX+i7Mbu7jUnVa7m9pruO1sLEXGVfHkyx8VxeH0RikmmqefFVJP1giKWhq9P34xdSTtdRcVa19201fe/kdw4jYRT6cdfuc3GOFfZf1VTatua/wCW7zI9D4LEQT26cnJtttXS35K7teystx22wNgj6UTepy8ajnfoVTNqDV9/2d/iaDF6P0hLEwccN9RDau3UpKUpPJSUdrd2557j6CoHuyT9LH5V+4ynhys9FV21LYztn70bvzM4aMr7nH+6PzOosLD6UPuMnPw0fWtbZ79pGX+GVenib8WJ9EV+tk0H+HVuCj3yt6JksNDzf2qiXSKv5v5G6BPoiLyZNM9BN7607dFT+MWWMPoinFWzl1k8/Ky8EbEE+mK3PK/KnR0ZSjLbjCKl+LfLsu87FrYMgSjdryx6AEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/9k="
74,x,74,excessive_hunger,Rasa Lapar Berlebihan,Rasa lapar berlebihan atau istilah medisnya Polifagia adalah rasa lapar cenderung tidak berkurang walau kita telah makan banyak.,Apakah saat ini merasakan lapar yang berlebih (tidak kenyang walaupun sudah makan banyak?,"https://cms.sehatq.com/cdn-cgi/image/f=auto,width=480,fit=pad,background=white,quality=100/public/img/article_img/7-penyebab-polifagia-atau-kondisi-lapar-berlebih-walau-banyak-makan-1595928536.jpg"
75,x,75,extra_marital_contacts,Seks di Luar Nikah,"Seks di luar nikah atau bisa dikategorikan sebagai seks bebas merupakan aktivitas seksual yang dilakukan tanpa adanya ikatan resmi seperti pacaran, seks dengan pekerja seks komersial, ataupun seks tanpa hubungan emosional",Apakah anda melakukan hubungan badan di luar nikah?,https://cdn.idntimes.com/content-images/community/2017/07/sex-addiction-acb5b0bd9d8d4c72c721cb24ca8b4ee2.jpg
76,x,76,drying_and_tingling_lips,Bibir Kering dan Kesemutan,"Kondisi dimana bibir pecah-pecah, kering, dan mengalami kesemutan.","Apakar bibir anda kering, pecah-pecah, dan kesemutan ?",https://cdn.popmama.com/content-images/post/20190507/bibir-kering-alighaharyca-3-edited-c2cb9ba80df50dbbd26492db09366577_800x420.jpg
77,x,77,slurred_speech,Cadel,"Cadel adalah sebuah kondisi di mana seseorang kesulitan untuk mengucapkan huruf tertentu, misalnya huruf ‘r’ dan ‘s’. Kondisi ini masuk ke dalam kategori gangguan berbicara.",Apakah anda mengalami gangguan bicara (cadel) ?,https://www.friso.co.id/sites/g/files/jgsirj126/files/2019-03/anak-bicara-cadel-apa-penyebabnya_hDhpsHlE95.jpg
78,x,78,knee_pain,Nyeri Lutut,"Lutut sakit atau nyeri lutut dapat disebabkan oleh cedera pada lutut. Lutut sakit sering disertai dengan keluhan lutut terasa kaku, sulit diluruskan, atau mengalami pembengkakan.",Apakah lutut anda mengalami nyeri?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1564130317/attached_image/sakit-lutut-alodokter.jpg
79,x,79,hip_joint_pain,Nyeri Pinggul,"Nyeri pinggul adalah suatu perasaan tidak nyaman atau rasa nyeri yang menyerang pinggul. Ini disebabkan oleh banyak faktor termasuk patah tulang, peradangan tendon atau sendi, cedera, atau penyakit yang mendasarinya. Bergantung dari keparahan atau penyebab pasti nyeri, terapi dapat termasuk penggantian pinggul yang cedera.",Apakah anda mengalami nyeri pada bagian pinggul ?,https://image-cdn.medkomtek.com/2vMNiNZ58HQItcqd_9aBRCWYZQw=/640x640/smart/klikdokter-media-buckets/medias/2021316/original/047123700_1521706898--Atasi-Nyeri-Pinggul-dengan-6-Peregangan-Ini-By-lightwavemedia-shutterstock.jpg
80,x,80,muscle_weakness,Kelemahan Otot,"Kelemahan otot terjadi ketika usaha Anda tidak menghasilkan suatu kontraksi atau gerakan otot yang normal. Kadang-kadang kondisi ini disebut kekuatan otot yang berkurang, kelemahan otot, atau otot yang lemah",Apakah saat ini otot anda melemah ? Usaha Anda tidak menghasilkan suatu kontraksi atau gerakan otot yang normal,https://res.cloudinary.com/dk0z4ums3/image/upload/v1613042500/attached_image/hemiparesis-kelemahan-otot-pada-salah-satu-sisi-tubuh.jpg
81,x,81,stiff_neck,Leher Kaku,"Leher kaku adalah kondisi leher yang sulit digerakkan atau terasa nyeri saat digerakkan. Di Indonesia, kondisi ini kerap dikenal dengan istilah salah bantal, dan seringkali terjadi ketika otot leher tegang atau salah satu tulang vertebra mengalami cedera.",Apakah leher anda kaku dan sulit digerakkan ?,https://akcdn.detik.net.id/visual/2019/01/08/4d23cf58-a571-466b-b9f3-39a88cccb017_169.jpeg?w=650
82,x,82,swelling_joints,Radang Sendi,"Radang sendi merupakan suatu kondisi terjadinya peradangan (inflamasi) dalam satu atau beberapa sendi. Biasanya, gejala dapat berupa nyeri, bengkak, kemerahan, atau sensasi hangat pada sendi. Radang sendi juga dapat menyebabkan sendi menjadi kaku dan sulit untuk digerakkan.",Apakah sendi anda mengalami peradangan ?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1591962846/attached_image/radang-sendi.jpg
83,x,83,movement_stiffness,Gerakan Kaku,Kondisi dimana sulit untuk menggerakkan anggota tubuh atau kaku.,Apakah anda mengalami kesulitan dalam melakukan pergerakan (kaku) ?,https://img.okezone.com/content/2020/01/27/481/2159088/cegah-otot-kaku-coba-4-gerakan-stretching-ini-yuk-78zCVeFOAe.jpg
84,x,84,spinning_movements,Vertigo,Vertigo adalah gejala yang menyebabkan seseorang mengalami pusing berputar yang muncul secara tiba-tiba. Pengidap vertigo akan merasakan sensasi seperti diri sendiri atau sekeliling seperti sedang berputar.,Apakah anda pernah atau sedang mengalami vertigo ?,https://image-cdn.medkomtek.com/qttU3hs9xyHkYu26-urHzDgHJAQ=/673x373/smart/klikdokter-media-buckets/medias/2314455/original/084696100_1588579509-Wanita-Mengalami-Vertigo-shutterstock_1273303843.jpg
85,x,85,loss_of_balance,Hilang Keseimbangan,"Hilangnya keseimbangan seringkali terjadi karena adanya gangguan sinyal yang dikirim telinga ke otak. Padahal, sinyal tersebut berfungsi untuk mengontrol keseimbangan dan kesadaran kita. Ketika ada hal yang memengaruhi otak atau telinga bagian dalam, maka keseimbangan tubuh akan hilang.",Apakah anda kesulitan untuk menyeimbangkan tubuh ?,https://cdn.idntimes.com/content-images/community/2019/09/gkrairi-75420e96d8771b110b1a1b9d7a4722e9_600x400.jpg
86,x,86,unsteadiness,Kegoyangan,Kondisi dimana saat melakukan gerakan tidak bisa stabil atau merasa goyang-goyang.,Apakah anda tidak bisa stabil (goyang-goyang) saat melakukan gerakan ?,https://www.blibli.com/friends/assets/shutterstock_707110369.jpg
87,x,87,weakness_of_one_body_side,Kelemahan pada Salah Satu Sisi Tubuh,"Hemiparesis adalah kondisi ketika salah satu sisi tubuh, dari kepala hingga kaki, mengalami kelemahan sehingga sulit digerakkan. Kondisi ini umumnya dialami oleh penderita stroke dan harus segera ditangani karena bisa menyebabkan kelemahan permanen dan kelumpuhan.",Apakah salah satu sisi dari tubuh anda mengalami kelemahan sehingga sulit digerakkan?,https://res.cloudinary.com/dk0z4ums3/image/upload/v1613042500/attached_image/hemiparesis-kelemahan-otot-pada-salah-satu-sisi-tubuh.jpg
88,x,88,loss_of_smell,Kehilangan Indra Penciuman,Merupakan kondisi dimana seseong tidak bisa mencium bau dari suatu benda.,Apakah anda tidak bisa mencium bau dari suatu benda?,https://asset.kompas.com/crops/WRSITdM-bkVutOo03qB7MxLy9So=/0x0:1000x667/780x390/data/photo/2020/03/23/5e7818f7ce18b.jpg
89,x,89,bladder_discomfort,Ketidaknyamanan Kandung Kemih,Ketidaknyamanan kandung kemih adalah rasa tidak nyaman pada bagian dari sistem saluran kencing yang terdapat di dalam tubuh manusia.,Apakah anda merasakan ketidaknyamanan pada sistem saluran kencing anda?,https://cms.sehatq.com/public/img/article_img/10-penyakit-pada-kandung-kemih-yang-harus-diwaspadai-1557814843.jpg
90,x,90,foul_smell_of urine,Air Kencing Bau Pesing,Kondisi dimana air kencing yang dikeluarkan oleh seseorang berbau tidak enak.,Apakah sewaktu buang air kecil anda mencium bau pesing yang menyengat?,http://portal.tahupedia.com//img/uploaded/cover/93190a5e4f37d171b4c776ac34ef55ef_1_cover.jpg
91,x,91,continuous_feel_of_urine,Buang Air Kecil Terus Menerus,"Buang air kecil terus-menerus sering kali disebabkan oleh infeksi saluran kemih. Kondisi ini lebih sering terjadi pada para wanita, namun pria juga bisa mengalaminya.",Apakah anda merasakan keinginan untuk buang air kecil secara terus menerus?,https://doktersehat.com/wp-content/uploads/2014/03/Mitch-Hernandez..jpg
92,x,92,passage_of_gases,Sering Kentut,Kondisi dimana seseorang sering melakukan kentut.,Apakah anda sering kentut?,https://www.alodokter.com/wp-content/uploads/2017/10/Penyebab-Sering-Kentut-Bisa-Jadi-Penyakit-Serius.jpg
